year,problem,problemType,instance,solver,status,instanceType,lastObjValue,lastObjTime,totalTime
2013,black-hole,SAT,12,cbc-free,UNK,,,,900.0
2013,black-hole,SAT,16,cbc-free,UNK,,,,900.0
2013,black-hole,SAT,18,cbc-free,UNK,,,,900.0
2013,black-hole,SAT,4,cbc-free,UNK,,,,900.0
2013,black-hole,SAT,6,cbc-free,UNK,,,,900.0
2013,cargo,MIN,challenge04_1s_626,cbc-free,MZN,,,,900.0
2013,cargo,MIN,challenge05_1s_954,cbc-free,MZN,,,,900.0
2013,cargo,MIN,challenge07_1s_133,cbc-free,MZN,,,,900.0
2013,cargo,MIN,challenge08_222f_3475,cbc-free,MZN,,,,900.0
2013,cargo,MIN,challenge10_15966f_2060,cbc-free,MZN,,,,900.0
2013,celar,MIN,CELAR6-SUB2,cbc-free,UNK,,,,900.0
2013,celar,MIN,CELAR6-SUB3,cbc-free,UNK,,,,900.0
2013,celar,MIN,CELAR7-SUB3,cbc-free,UNK,,,,900.0
2013,celar,MIN,graph11,cbc-free,UNK,,,,900.0
2013,celar,MIN,scen06,cbc-free,UNK,,,,900.0
2013,filters,MIN,ar_2_3,cbc-free,UNK,,,,900.0
2013,filters,MIN,dct_2_2,cbc-free,UNK,,,,900.0
2013,filters,MIN,dfq_1_1,cbc-free,C,sat,4.0,1.235,1.235
2013,filters,MIN,ewf_2_1,cbc-free,C,sat,21.0,136.175,136.175
2013,filters,MIN,fir_2_3,cbc-free,C,sat,10.0,19.039,19.039
2013,fjsp,MIN,easy01,cbc-free,UNK,,,,900.0
2013,fjsp,MIN,easy02,cbc-free,MZN,,,,900.0
2013,fjsp,MIN,hard19,cbc-free,MZN,,,,900.0
2013,fjsp,MIN,med04,cbc-free,MZN,,,,900.0
2013,fjsp,MIN,med10,cbc-free,MZN,,,,900.0
2013,ghoulomb,MIN,3-11-29,cbc-free,MZN,,,,900.0
2013,ghoulomb,MIN,3-9-16,cbc-free,MZN,,,,900.0
2013,ghoulomb,MIN,4-9-10,cbc-free,UNK,,,,900.0
2013,ghoulomb,MIN,4-9-20,cbc-free,MZN,,,,900.0
2013,ghoulomb,MIN,5-7-22,cbc-free,MZN,,,,900.0
2013,javarouting,MIN,trip_6_3,cbc-free,UNK,,,,900.0
2013,javarouting,MIN,trip_7_1,cbc-free,UNK,,,,900.0
2013,javarouting,MIN,trip_7_2,cbc-free,UNK,,,,900.0
2013,javarouting,MIN,trip_8_1,cbc-free,UNK,,,,900.0
2013,javarouting,MIN,trip_8_5,cbc-free,UNK,,,,900.0
2013,l2p,MIN,l2p1,cbc-free,UNK,,,,900.0
2013,l2p,MIN,l2p12,cbc-free,UNK,,,,900.0
2013,l2p,MIN,l2p13,cbc-free,UNK,,,,900.0
2013,l2p,MIN,l2p16,cbc-free,UNK,,,,900.0
2013,l2p,MIN,l2p2,cbc-free,UNK,,,,900.0
2013,league,MIN,model15-4-3,cbc-free,S,sat,290.0,900.0,900.0
2013,league,MIN,model20-5-4,cbc-free,UNK,,,,900.0
2013,league,MIN,model30-8-4,cbc-free,S,sat,1080.0,900.0,900.0
2013,league,MIN,model40-5-11,cbc-free,UNK,,,,900.0
