year,track,portSize,ratio,port,set
2013,free,1,0.2754873158087926,"('chuffed',)",all
2013,free,2,0.4147301107157773,"('chuffed', 'opturion_cpx')",all
2013,free,3,0.5440171835478049,"('chuffed', 'or_tools', 'opturion_cpx')",all
2013,free,4,0.631124190512976,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx')",all
2013,free,5,0.7199419761916445,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx', 'cplex')",all
2013,free,6,0.786361113974545,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,7,0.8410110081055099,"('chuffed', 'izplus', 'or_tools', 'jacop', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,8,0.8892727015120447,"('chuffed', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,9,0.9239643255805416,"('chuffed', 'gecode', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,10,0.9557720871573882,"('chuffed', 'gecode', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,11,0.9827630426894582,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,12,0.9910158643419338,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,13,0.9954985370245328,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'fzn2smt', 'lazyfd', 'cplex', 'gurobi')",all
2014,free,1,0.3155417377376616,"('Chuffed',)",all
2014,free,2,0.5026690500843738,"('Chuffed', 'iZplus')",all
2014,free,3,0.6171874790102789,"('Chuffed', 'OR_Tools', 'iZplus')",all
2014,free,4,0.7079517239087098,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus')",all
2014,free,5,0.8022508691259959,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'Picat_SAT')",all
2014,free,6,0.8723124052290472,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT')",all
