year,track,problem,instance,solver1,solver2,score1,score2
2015,free,costas_array,16,OscaR_CBLS,JaCoP,0.8128984726984217,0.1871015273015783
2015,free,costas_array,17,OscaR_CBLS,JaCoP,0.8622958791303176,0.13770412086968242
2015,free,costas_array,18,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,costas_array,19,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,cvrp,A_n37_k5_dot_vrp,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,cvrp,A_n64_k9_dot_vrp,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,cvrp,B_n45_k5_dot_vrp,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,cvrp,P_n16_k8_dot_vrp,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,cvrp,simple2,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,freepizza,pizza27,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,freepizza,pizza39,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,freepizza,pizza45,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,freepizza,pizza6,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,freepizza,pizza78,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,gfd_schedule,n120f5d50m50k20,OscaR_CBLS,JaCoP,0.024118279777351176,0.9758817202226489
2015,free,gfd_schedule,n180f7d50m30k18,OscaR_CBLS,JaCoP,0.014084428556701318,0.9859155714432987
2015,free,gfd_schedule,n30f3d30m7k4,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,gfd_schedule,n50f7d40m10k4,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,gfd_schedule,n75f5d30m20k20,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,grid_colouring,10_5,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,grid_colouring,13_11,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,grid_colouring,19_17,OscaR_CBLS,JaCoP,1.0,0.0
