solver,bordaScoreAll,bordaRankAll,bordaScore,bordaRank,shapleyValue,shapleyRank,year,track
cbc,2.3312162650247235,17.0,,,,,2013,free
choco,5.654520348680256,7.0,6.606476903723912,8.0,1.742577692443504,12.0,2013,free
chuffed,8.352985481373505,1.0,10.543507453013138,1.0,20.067776418252027,1.0,2013,free
cplex,4.524675889753019,14.0,5.275337937475296,12.0,7.313206182726207,5.0,2013,free
fzn2smt,5.1137200330889625,11.0,5.978686333160585,11.0,1.2115537900702376,13.0,2013,free
g12_fd,4.261477964811257,15.0,4.902322177455721,13.0,2.0769868095074724,11.0,2013,free
gecode,6.2505700059372336,5.0,7.497076712881829,5.0,5.371018932784924,7.0,2013,free
gecoxicals,4.831891444068287,12.0,,,,,2013,free
gurobi,5.446007159697308,9.0,6.54680133248133,9.0,6.229520731087133,6.0,2013,free
izplus,6.588349346792087,4.0,8.019828135195523,4.0,8.272188514590962,4.0,2013,free
jacop,5.18123622591719,10.0,6.026703288179237,10.0,4.1010203833041485,8.0,2013,free
lazyfd,5.930929780526235,6.0,7.163878984346168,6.0,3.1194881599676934,9.0,2013,free
minisatid,4.747941264388231,13.0,,,,,2013,free
mistral,5.616835648445643,8.0,6.763179569927345,7.0,2.957824806557767,10.0,2013,free
opturion_cpx,7.460657221139635,2.0,9.229511411554432,2.0,18.968678366059304,2.0,2013,free
or_tools,6.930614568679496,3.0,8.44668976060548,3.0,12.064448412973396,3.0,2013,free
picat,3.7763713516769313,16.0,,,,,2013,free
Choco,6.989541408174242,4.0,8.764095328195644,4.0,2.4431522227474334,10.0,2014,free
Chuffed,10.079964784721277,1.0,13.8176823439159,1.0,26.60063455063122,1.0,2014,free
Concrete,3.784365472584034,16.0,,,,,2014,free
G12_FD,4.843589827600208,14.0,,,,,2014,free
G12_LazyFD,6.650292813213879,6.0,8.514711219167411,6.0,3.467001713304517,9.0,2014,free
Gecode,5.453193070291596,10.0,6.970596703344858,10.0,6.561961744137898,6.0,2014,free
HaifaCSP,6.652914892764231,5.0,8.572480652039305,5.0,4.943801526625336,7.0,2014,free
JaCoP,4.959770108209321,13.0,,,,,2014,free
MinisatID,5.177720979874061,12.0,,,,,2014,free
Mistral,6.158696929159097,8.0,7.72510387141417,8.0,3.8446280295063007,8.0,2014,free
OR_Tools,6.583835614819099,7.0,8.38207413720581,7.0,6.750280772887361,5.0,2014,free
Opturion_CPX,8.497140226505163,3.0,11.226201644836511,3.0,11.064434021875767,3.0,2014,free
Picat_CP,4.029247802742489,15.0,,,,,2014,free
Picat_SAT,5.253480133444422,11.0,6.770261063295336,11.0,8.56995768461554,4.0,2014,free
SICStus_Prolog,6.090764595390191,9.0,7.525755166450348,9.0,1.2053946740068158,11.0,2014,free
iZplus,8.79548134050669,2.0,11.731037870134706,2.0,20.425467460206008,2.0,2014,free
Choco,5.71787136711644,8.0,6.532980491978503,8.0,3.8039024173869973,11.0,2015,free
Concrete,4.117560511918061,16.0,,,,,2015,free
G12_FD,4.271897431849015,15.0,4.882796268086358,13.0,1.8867249508368371,14.0,2015,free
Gecode,5.941292862727218,7.0,6.82744403920391,6.0,0.9817240634206156,15.0,2015,free
JaCoP,5.954010364820815,6.0,6.8138743041473715,7.0,4.112532458390692,10.0,2015,free
MZN_CPLEX,5.379357680238439,11.0,6.301044485906878,10.0,11.426660914977877,2.0,2015,free
MZN_Gurobi,5.035807509906031,12.0,5.872487605021218,12.0,5.546318904291212,8.0,2015,free
MinisatID,5.708660707785509,9.0,6.489408984479849,9.0,2.2304194347029314,13.0,2015,free
MinisatID_MP,4.5413956115490715,13.0,,,,,2015,free
Mistral,6.267609048726597,5.0,7.276464025084061,5.0,6.038212467522505,6.0,2015,free
OR_Tools,6.349619357673612,4.0,7.3653768964200514,4.0,7.21147990544917,5.0,2015,free
Opturion_CPX,7.306058189063836,2.0,8.4374596844945,2.0,5.320082998324045,9.0,2015,free
OscaR_CBLS,3.39989270179164,18.0,3.904266319087807,15.0,7.613056333683253,4.0,2015,free
Picat_CP,4.485550095439342,14.0,,,,,2015,free
Picat_SAT,5.4838573737320955,10.0,6.261027883099321,11.0,5.718547922669741,7.0,2015,free
