year,track,nSolvers,vbsSize,nVBSPortfolios,vbsPortfolios
2013,fd,10,8,1,"[['chuffed', 'gecode', 'or_tools', 'choco', 'jacop', 'opturion_cpx', 'picat', 'g12_fd']]"
2013,free,17,13,1,"[['chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'fzn2smt', 'lazyfd', 'cplex', 'gurobi']]"
2013,open,18,12,1,"[['chuffed', 'gecode', 'izplus', 'or_tools', 'choco', 'jacop', 'opturion_cpx', 'mistral', 'fzn2smt', 'g12_fd', 'cplex', 'gurobi']]"
2013,par,17,11,1,"[['chuffed', 'gecode', 'or_tools', 'izplus', 'choco', 'jacop', 'opturion_cpx', 'mistral', 'fzn2smt', 'cplex', 'gurobi']]"
2014,fd,10,6,1,"[['Gecode', 'Chuffed', 'Opturion_CPX', 'OR_Tools', 'SICStus_Prolog', 'JaCoP']]"
2014,free,16,11,1,"[['Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'Choco']]"
2014,open,18,11,1,"[['Gecode', 'Chuffed', 'iZplus', 'Opturion_CPX', 'OR_Tools', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'JaCoP', 'sunny_cp']]"
2014,par,16,11,1,"[['Chuffed', 'Gecode', 'iZplus', 'Opturion_CPX', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'MinisatID', 'OR_Tools', 'Choco', 'JaCoP']]"
2015,fd,8,6,1,"[['OR_Tools', 'Gecode', 'JaCoP', 'Choco', 'chuffed', 'Opturion_CPX']]"
2015,free,18,15,1,"[['OscaR_CBLS', 'MinisatID', 'chuffed', 'OR_Tools', 'Gecode', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'G12_FD', 'YACS', 'MZN_CPLEX', 'MZN_Gurobi']]"
2015,open,20,15,1,"[['OscaR_CBLS', 'MinisatID', 'OR_Tools', 'Gecode', 'Mistral', 'sunny_cp', 'sunny_cp_minus', 'JaCoP', 'iZplus', 'Picat_SAT', 'chuffed', 'Opturion_CPX', 'YACS', 'MZN_CPLEX', 'MZN_Gurobi']]"
2015,par,18,13,1,"[['Mistral', 'iZplus', 'OR_Tools', 'OscaR_CBLS', 'Gecode', 'MinisatID', 'JaCoP', 'Picat_SAT', 'chuffed', 'YACS', 'Opturion_CPX', 'MZN_CPLEX', 'MZN_Gurobi']]"
