year,track,nSolvers,vbsSize,nVBSPortfolios,vbsPortfolios
2013,fd,6,6,1,"[['gecode', 'or_tools', 'choco', 'jacop', 'opturion_cpx', 'picat']]"
2013,free,9,9,1,"[['gecode', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'fzn2smt', 'picat']]"
2013,open,10,9,1,"[['gecode', 'izplus', 'or_tools', 'choco', 'numberjack', 'jacop', 'opturion_cpx', 'mistral', 'fzn2smt']]"
2013,par,9,8,1,"[['gecode', 'or_tools', 'izplus', 'choco', 'jacop', 'opturion_cpx', 'mistral', 'fzn2smt']]"
2014,fd,6,4,1,"[['Opturion_CPX', 'OR_Tools', 'SICStus_Prolog', 'JaCoP']]"
2014,free,12,8,1,"[['Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'Choco']]"
2014,open,12,9,1,"[['iZplus', 'Opturion_CPX', 'OR_Tools', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'MinisatID', 'SICStus_Prolog', 'JaCoP']]"
2014,par,12,10,1,"[['iZplus', 'Opturion_CPX', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'MinisatID', 'SICStus_Prolog', 'OR_Tools', 'Choco', 'JaCoP']]"
2015,fd,5,4,1,"[['OR_Tools', 'JaCoP', 'Choco', 'Opturion_CPX']]"
2015,free,13,11,1,"[['OscaR_CBLS', 'MinisatID', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'Picat_CP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS']]"
2015,open,14,11,1,"[['OscaR_CBLS', 'MinisatID', 'OR_Tools', 'Mistral', 'sunny_cp_minus', 'JaCoP', 'Choco', 'iZplus', 'Picat_SAT', 'Opturion_CPX', 'YACS']]"
2015,par,13,11,1,"[['Mistral', 'iZplus', 'OR_Tools', 'OscaR_CBLS', 'MinisatID', 'Choco', 'JaCoP', 'Picat_CP', 'Picat_SAT', 'YACS', 'Opturion_CPX']]"
2016,fd,6,6,1,"[['Choco', 'Concrete', 'JaCoP', 'OR_Tools', 'SICStus_Prolog', 'Picat_CP']]"
2016,free,13,9,1,"[['iZplus', 'Picat_SAT', 'HaifaCSP', 'MinisatID', 'Choco', 'JaCoP', 'Mistral', 'OR_Tools', 'SICStus_Prolog']]"
2016,open,15,9,1,"[['iZplus', 'sunny_cp_less', 'Picat_SAT', 'sunny_cp_less_less', 'HaifaCSP', 'MinisatID', 'JaCoP', 'Mistral', 'OR_Tools']]"
2016,par,13,10,1,"[['iZplus', 'Picat_SAT', 'Choco', 'HaifaCSP', 'MinisatID', 'JaCoP', 'OR_Tools', 'Mistral', 'OscaR_CBLS', 'SICStus_Prolog']]"
2017,fd,7,6,1,"[['picat_cp', 'or_tools_lcg', 'jacop', 'choco4', 'or_tools_cp', 'sicstus']]"
2017,free,15,13,1,"[['or_tools_lcg_core', 'or_tools_lcg', 'izplus', 'mistral', 'haifacsp', 'jacop', 'or_tools_cp', 'choco4', 'choco5', 'concrete', 'oscar', 'picat_sat', 'yuck']]"
2017,open,16,13,1,"[['or_tools_lcg_core', 'izplus', 'sunny_cp_less', 'mistral', 'haifacsp', 'or_tools_lcg', 'jacop', 'choco4', 'concrete', 'or_tools_cp', 'oscar', 'picat_sat', 'yuck']]"
2017,par,15,14,1,"[['or_tools_lcg_core', 'izplus', 'mistral', 'haifacsp', 'choco4', 'or_tools_lcg', 'choco5', 'jacop', 'or_tools_cp', 'concrete', 'oscar', 'picat_sat', 'sicstus', 'yuck']]"
2018,fd,5,5,1,"[['or_tools', 'choco', 'jacop', 'concrete', 'sicstus']]"
2018,free,10,9,1,"[['or_tools', 'jacop', 'haifacsp', 'choco', 'concrete', 'izplus', 'oscarcbls', 'picatsat', 'yuck']]"
2018,open,11,9,1,"[['sunny_cp_less', 'or_tools', 'choco', 'jacop', 'haifacsp', 'izplus', 'oscarcbls', 'picatsat', 'yuck']]"
2018,par,10,8,1,"[['or_tools', 'jacop', 'haifacsp', 'choco', 'izplus', 'oscarcbls', 'picatsat', 'yuck']]"
2019,fd,5,5,1,"[['or_tools', 'jacop', 'sicstus', 'choco', 'concrete']]"
2019,free,9,9,1,"[['or_tools', 'picatsat', 'izplus', 'yuck', 'concrete', 'oscarcbls', 'jacop', 'choco', 'sicstus']]"
2019,open,10,9,1,"[['sunny_cp_less', 'picatsat', 'izplus', 'yuck', 'oscarcbls', 'or_tools', 'jacop', 'sicstus', 'choco']]"
2019,par,9,9,1,"[['or_tools', 'picatsat', 'izplus', 'yuck', 'choco', 'oscarcbls', 'jacop', 'sicstus', 'concrete']]"
2020,fd,3,3,1,"[['jacop', 'sicstus', 'choco']]"
2020,free,11,10,1,"[['or_tools', 'jacop', 'sicstus', 'mistral', 'picatsat', 'choco', 'flatzingo', 'optimathsat_int', 'oscarcbls', 'yuck']]"
2020,open,13,12,1,"[['or_tools', 'jacop', 'sunny_cp_less', 'sunny_cp__closed', 'sicstus', 'choco', 'mistral', 'picatsat', 'flatzingo', 'optimathsat_int', 'oscarcbls', 'yuck']]"
2020,par,11,8,1,"[['or_tools', 'sicstus', 'choco', 'mistral', 'picatsat', 'flatzingo', 'oscarcbls', 'yuck']]"
2021,fd,4,4,1,"[['or_tools_cp_sat', 'sicstus_prolog', 'jacop', 'choco_solver_4_10_7']]"
2021,free,11,9,1,"[['izplus', 'or_tools_cp_sat', 'flatzingo', 'picatsat', 'coin_or_cbc', 'mistral_2_0', 'choco_solver_4_10_7', 'jacop', 'yuck']]"
2021,open,11,10,1,"[['izplus', 'flatzingo', 'picatsat', 'coin_or_cbc', 'mistral_2_0', 'or_tools_cp_sat', 'sicstus_prolog', 'jacop', 'choco_solver_4_10_7', 'yuck']]"
2021,par,11,10,1,"[['flatzingo', 'or_tools_cp_sat', 'choco_solver_4_10_7', 'izplus', 'picatsat', 'mistral_2_0', 'sicstus_prolog', 'jacop', 'coin_or_cbc', 'yuck']]"
